n,p,KL Divergence,Jensen-Shannon Divergence,Wasserstein Distance
10,0.01,2.6055004041467953e-05,0.0025785424229449686,0.0009106860543093287
10,0.02,0.00010494037769929252,0.005183286316191719,0.003315892380677421
10,0.03,0.00023776218447445565,0.007814530323295507,0.006788187563366077
10,0.04,0.00042566166112692017,0.010472583974429616,0.010974819921612422
10,0.05,0.0006698166490242207,0.013157767306628146,0.015587439524451296
10,0.06,0.000971442891246826,0.01587040899262036,0.020393035919886948
10,0.07,0.0013317949156499383,0.0186108418953195,0.02520595869079284
10,0.08,0.0017521660701373836,0.021379394907614386,0.029880899801349392
10,0.09,0.0022338871346747296,0.02417638007875457,0.0343067274511738
10,0.1,0.002778322831140345,0.027002074334721942,0.0384010711782104
10,0.11,0.0033868655054347736,0.029856695514586362,0.04574600115530775
10,0.12,0.00406092527586009,0.03274037291035728,0.0540869115159035
10,0.13,0.004801916028910915,0.0356531129603912,0.06259314116160933
10,0.14,0.005611236792592498,0.038594761161952124,0.07112040493407998
10,0.15,0.0064902482175205126,0.041564961604982936,0.07953364762969792
10,0.16,0.007440244133363447,0.044563115765969816,0.08770890478126961
10,0.17,0.00846241840718739,0.04758834232920061,0.0955343985320398
10,0.18,0.009557827595235689,0.050639439823503926,0.10291100763288599
10,0.19,0.010727350135911263,0.053714853784782614,0.10975223396096383
10,0.2,0.011971643066215018,0.05681264999323527,0.11598377325423369
10,0.21,0.013291097445849366,0.05993049510800556,0.1260125676614554
10,0.22,0.01468579383443412,0.06306564575181574,0.1381691869601439
10,0.23,0.01615545928218118,0.06621494680462359,0.15012666568253355
10,0.24,0.017699427359876056,0.06937483936780967,0.1617436690702433
10,0.25,0.01931660276954328,0.07254137857540079,0.17288254209415485
10,0.26,0.02100543204412423,0.07571026116961582,0.18341053983599864
10,0.27,0.022763881766279012,0.07887686253415162,0.1932008316199617
10,0.28,0.024589425617797197,0.08203628269585524,0.20213330153610423
10,0.29,0.026479041417992958,0.0851834006661975,0.21009516883355384
10,0.3,0.028429219128610503,0.08831293639757976,0.2169814513915019
10,0.31,0.030435980601243723,0.09141951957294381,0.22860475553375656
10,0.32,0.03249491162830256,0.0944977644254696,0.24302621805704913
10,0.33,0.03460120663712147,0.09754234979213805,0.2567358923770057
10,0.34,0.03674972614538176,0.10054810363346577,0.2695619205440881
10,0.35000000000000003,0.03893506688045235,0.10351009129435017,0.2813356631419357
10,0.36,0.04115164426045528,0.10642370682990254,0.29189336847396774
10,0.37,0.0433937867448216,0.10928476676775176,0.301077741082192
10,0.38,0.045655841389780155,0.1120896057169323,0.30873939620613383
10,0.39,0.04793228979148774,0.11483517325572312,0.31473818846611
10,0.4,0.05021787346736017,0.11751913152946612,0.3205905401157718
10,0.41000000000000003,0.052507727614586226,0.12013995295749792,0.33577675569198684
10,0.42,0.05479752209315263,0.12269701737942174,0.3497972622923292
10,0.43,0.05708360840764055,0.12519070785907427,0.36245875347840484
10,0.44,0.05936317140589239,0.12762250420498636,0.37357273985448813
10,0.45,0.06163438437144435,0.12999507305562522,0.38295751314150095
10,0.46,0.06389656615840744,0.13231235311561293,0.3904400222006838
10,0.47000000000000003,0.06615033900045203,0.1345796338182093,0.39585763986821615
10,0.48,0.0683977856181702,0.13680362533736232,0.39905980166378535
10,0.49,0.07064260425028723,0.13899251749356806,0.40804467248523624
10,0.5,0.0728902602434656,0.14115602471362967,0.4233927552652451
10,0.51,0.07514813285291137,0.1433054138463521,0.43726515497203233
10,0.52,0.07742565593243103,0.14545351134565382,0.4494667084084296
10,0.53,0.07973445122957873,0.1476146861608326,0.45980795548967124
10,0.54,0.0820884530511762,0.14980480468041793,0.468107064310829
10,0.55,0.08450402312972763,0.1520411543251666,0.4741917036495105
10,0.56,0.08700005460541047,0.1543423329390369,0.47790084310440206
10,0.5700000000000001,0.08959806414533286,0.1567281020345336,0.49383430636129866
10,0.58,0.09232227135586217,0.15921920323730146,0.5129041966468915
10,0.59,0.09519966480957036,0.161837138934545,0.5306861963739858
10,0.6,0.0982600542103378,0.16460392010499533,0.5469907088176261
10,0.61,0.10153610846317249,0.16754178648165874,0.561630679393782
10,0.62,0.10506337970395171,0.17067290640455268,0.5744232792865386
10,0.63,0.10888031368328104,0.17401906574777784,0.5851916025234798
10,0.64,0.11302824729248295,0.1776013569218846,0.6089910210875007
10,0.65,0.11755139447322314,0.18143987993981112,0.6366031515966223
10,0.66,0.12249682227038455,0.18555346772449952,0.6636242710577309
10,0.67,0.12791441937644957,0.189959447146171,0.689893392201535
10,0.68,0.13385686018195986,0.1946734457331857,0.7152469807273149
10,0.6900000000000001,0.14037956810016045,0.19970925174157717,0.7395198970304092
10,0.7000000000000001,0.14754068278767057,0.2050787325297144,0.7675034764768373
10,0.71,0.15540103685531229,0.2107918132618564,0.8048303174677863
10,0.72,0.16402414878013713,0.21685651516835863,0.8424522023811534
10,0.73,0.17347624002830248,0.22327905020153732,0.8802901945397134
10,0.74,0.18382628593167188,0.23006396716037122,0.9182646962766607
10,0.75,0.1951461117039351,0.23721434334665314,0.9562958798564106
10,0.76,0.20751054724134566,0.24473201560855545,0.9943041198978414
10,0.77,0.22099765718062953,0.2526178452040373,1.0322104236945648
10,0.78,0.23568906629862102,0.26087201221036155,1.069936855668102
10,0.79,0.2516704050456265,0.26949433713813503,1.107406952093694
10,0.8,0.26903190625743745,0.27848462992484346,1.1445461222127509
10,0.81,0.2878691925488055,0.2878430696031558,1.1812820318962651
10,0.8200000000000001,0.3082843055333124,0.29757062181575333,1.2175449661525706
10,0.8300000000000001,0.33038704431972443,0.30766950633749596,1.2532681669806223
10,0.84,0.3542967039781245,0.3181437335069566,1.2883881433538074
10,0.85,0.38014433842581685,0.328999737979028,1.3228449504730397
10,0.86,0.40807572220921706,0.3402471520328817,1.3565824358439444
10,0.87,0.4382552614722133,0.35189978121708615,1.3895484502004156
10,0.88,0.47087122222976124,0.3639768765031192,1.4216950218040378
10,0.89,0.506142832532735,0.3765048471555589,1.4529784931821892
10,0.9,0.5443301267352402,0.38951964317916665,1.483359619913259
10,0.91,0.5857479356772795,0.4030701894667491,1.5128036316112254
10,0.92,0.6307863902320876,0.417223549821821,1.5412802557900518
10,0.93,0.679942137162108,0.432073104729312,1.5687637057883967
10,0.9400000000000001,0.7338681886102154,0.44775233729662023,1.595232634395617
10,0.9500000000000001,0.7934585555492334,0.46445985230605896,1.620670055231322
10,0.96,0.8600041034054864,0.48250893625102315,1.6450632342852587
10,0.97,0.9355141012892483,0.5024372904775893,1.6684035543165687
10,0.98,1.023504602208314,0.5252928235664805,1.6906863550381277
10,0.99,1.1316266042618355,0.5536310991366845,1.7119107521717
100,0.01,2.5252529593720895e-05,0.0025188749127273012,0.0036941997964274886
100,0.02,0.00010169554121421077,0.005063160158469647,0.010899732539382784
100,0.03,0.000230380949691719,0.0076331869475824475,0.02035142398613113
100,0.04,0.0004123934310055,0.010229292185860944,0.031630860451957184
100,0.05,0.0006488517970172931,0.012851818915421755,0.044504338609425736
100,0.06,0.0009409104430878508,0.015501116781017796,0.05881813376185384
100,0.07,0.0012897608732466486,0.018177542520901428,0.07446201478203718
